"Name","Set.Name","R","High","Med","Low"
"Reenact the Crime (Showcase)","MKM","R",0.73,0.72,0.01
"Relive the Past","MKM","R",0.13,0.12,0.01
"Relive the Past (Extended Art)","MKM","R",0.19,0.16,0.03
"Repeat Offender","MKM","C",0.04,0.03,0.01
"Repulsive Mutation","MKM","U",0.61,0.45,0.16
"Riftburst Hellion","MKM","C",0.05,0.04,0.01
"Rope","MKM","U",0.34,0.33,0.01
"Rot Farm Mortipede","MKM","C",0.02,0.01,0.01
"Rubblebelt Braggart","MKM","C",0.02,0.01,0.01
"Rubblebelt Maverick","MKM","C",0.1,0.09,0.01
"Rune-Brand Juggler","MKM","U",0.03,0.02,0.01
"Sample Collector","MKM","U",0.05,0.04,0.01
"Sanctuary Wall","MKM","U",0.09,0.08,0.01
"Sanguine Savior","MKM","C",0.06,0.05,0.01
"Sanitation Automaton","MKM","C",0.02,0.01,0.01
"Scene of the Crime","MKM","U",0.44,0.35,0.09
"Seasoned Consultant","MKM","C",0.02,0.01,0.01
"Shadowy Backstreet","MKM","R",23.71,13.88,9.83
"Shadowy Backstreet (Borderless)","MKM","R",44.94,31.19,13.75
"Shady Informant","MKM","C",0.02,0.01,0.01
"Sharp-Eyed Rookie","MKM","R",0.12,0.11,0.01
"Sharp-Eyed Rookie (Showcase)","MKM","R",0.35,0.31,0.04
"Shock","MKM","C",0.15,0.14,0.01
"Skeleton Token","MKM","T",0.3,0.25,0.05
"Slice from the Shadows","MKM","C",0.14,0.13,0.01
"Slice from the Shadows (Showcase)","MKM","C",0.46,0.45,0.01
"Slime Against Humanity","MKM","C",1.6,1.15,0.45
"Slimy Dualleech","MKM","U",0.07,0.06,0.01
"Snarling Gorehound","MKM","C",0.76,0.75,0.01
"Soul Enervation","MKM","U",0.18,0.17,0.01
"Soul Enervation (Showcase)","MKM","U",0.11,0.1,0.01
"Soul Search","MKM","U",0.03,0.02,0.01
"Spider Token","MKM","T",0.32,0.24,0.08
"Spirit Token","MKM","T",0.26,0.22,0.04
"Steamcore Scholar","MKM","R",0.58,0.49,0.09
"Steamcore Scholar (Extended Art)","MKM","R",0.78,0.69,0.09
"Sudden Setback (a)","MKM","U",0.37,0.36,0.01
"Sudden Setback (b)","MKM","U",0.13,0.12,0.01
"Sumala Sentry","MKM","U",0.05,0.04,0.01
"Surveillance Monitor (a)","MKM","U",0.02,0.01,0.01
"Surveillance Monitor (b)","MKM","U",0.06,0.05,0.01
"Suspicious Detonation","MKM","C",0.02,0.01,0.01
"Swamp (0274)","MKM","L",0.35,0.28,0.07
"Swamp (0281)","MKM","L",0.14,0.12,0.02
"Swamp (0282)","MKM","L",0.21,0.17,0.04
"Tenth District Hero","MKM","R",0.13,0.12,0.01
"Tenth District Hero (Extended Art)","MKM","R",0.32,0.31,0.01
"Teysa, Opulent Oligarch","MKM","R",0.4,0.38,0.02
"Teysa, Opulent Oligarch (Showcase) (0321)","MKM","R",1.86,1.57,0.29
"Teysa, Opulent Oligarch (Showcase) (0370)","MKM","R",0.5,0.4,0.1
"The Chase Is On","MKM","C",0.07,0.06,0.01
"The Chase Is On (Showcase)","MKM","C",0.08,0.07,0.01
"The Pride of Hull Clade","MKM","M",3.18,2.23,0.95
"The Pride of Hull Clade (Showcase)","MKM","M",1.88,1.18,0.7
"The Pride of Hull Clade (Showcase) (Invisible Ink)","MKM","M",7.6,3.8,3.8
"They Went This Way","MKM","C",0.15,0.14,0.01
"Thinking Cap","MKM","C",0.04,0.03,0.01
"Thopter (0020) // Bat Double-Sided Token","MKM","T",0.33,0.28,0.05
"Thopter (0020) // Dog Double-Sided Token","MKM","T",0.18,0.09,0.09
"Thopter (0020) // Goblin Double-Sided Token","MKM","T",0.39,0.24,0.15
"Thopter (0020) // Human Double-Sided Token","MKM","T",0.3,0.22,0.08
"Thopter (0020) // Imp Double-Sided Token","MKM","T",0.38,0.28,0.1
"Thopter (0020) // Merfolk Double-Sided Token","MKM","T",0.4,0.25,0.15
