"SKU","Shape","Carat","Clarity","Color","Polish","Symmetry","Fluorescence","Measurements","Lab","Cut","x","y","z","price","listingURL","imgURL","priceClean"
"sku_76362 ","Round",0.8,"SI1","G","Excellent","Excellent","Strong","5.88-5.92x3.70","GIA","Excellent",5.88,5.92,3.7,"$2,758.00","https://diamondsdirect.com/round-0-8-g-si1-76362/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/71267/images/74634/222126-255__39820.1675333432.220.290.jpg?c=1",2758
"sku_94230 ","Oval",0.8,"VVS2","L","Very Good","Very Good","Strong","6.98x5.13x3.23","GIA",NA,6.98,5.13,3.23,"$1,144.00","https://diamondsdirect.com/oval-0-8-l-vvs2-94230/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/90782/images/94077/220542-161__24365.1675334564.220.290.jpg?c=1",1144
"sku_106216 ","Cushion",0.8,"VS1","H","Excellent","Excellent","None","5.88x4.92x3.33","GIA",NA,5.88,4.92,3.33,"$1,954.00","https://diamondsdirect.com/cushion-0-8-h-vs1-106216/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/80899/images/84232/220364-71__49035.1675328505.220.290.jpg?c=1",1954
"sku_106144 ","Cushion",0.8,"VS2","FALSE","Excellent","Very Good","None","5.13x5.09x3.48","GIA",NA,5.13,5.09,3.48,"$2,042.00","https://diamondsdirect.com/cushion-0-8-f-vs2-106144/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/78765/images/82102/220379-54__73935.1675328182.220.290.jpg?c=1",2042
"sku_130960 ","Round",0.5,"VVS2","J","Excellent","Excellent","None","5.14-5.17x3.15","GIA","Excellent",5.14,5.17,3.15,"$1,447.00","https://diamondsdirect.com/round-0-5-j-vvs2-130960/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/116594/images/124753/222267-442__45346.1675333433.220.290.jpg?c=1",1447
"sku_128613 ","Round",0.8,"VVS1","FALSE","Excellent","Excellent","Medium","5.91-5.94x3.70","GIA","Excellent",5.91,5.94,3.7,"$5,690.00","https://diamondsdirect.com/round-0-8-f-vvs1-128613/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/114586/images/122671/221303-197__60867.1675321715.220.290.jpg?c=1",5690
"sku_106180 ","Cushion",0.8,"VS1","G","Excellent","Very Good","Faint","5.11x5.01x3.46","GIA",NA,5.11,5.01,3.46,"$1,978.00","https://diamondsdirect.com/cushion-0-8-g-vs1-106180/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/98011/images/101269/220371-29__84893.1675335323.220.290.jpg?c=1",1978
"sku_106154 ","Cushion",0.8,"SI1","FALSE","Excellent","Excellent","None","5.44x5.02x3.48","GIA",NA,5.44,5.02,3.48,"$1,988.00","https://diamondsdirect.com/cushion-0-8-f-si1-106154/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/78369/images/81706/222228-128__86966.1675332103.220.290.jpg?c=1",1988
"sku_106121 ","Cushion",0.8,"VS1","FALSE","Excellent","Excellent","Faint","5.17x5.15x3.55","GIA",NA,5.17,5.15,3.55,"$2,107.00","https://diamondsdirect.com/cushion-0-8-f-vs1-106121/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/98165/images/101422/222142-363__45163.1675331290.220.290.jpg?c=1",2107
"sku_106135 ","Cushion",0.8,"VS2","FALSE","Excellent","Very Good","None","5.61x4.87x3.31","GIA",NA,5.61,4.87,3.31,"$2,154.00","https://diamondsdirect.com/cushion-0-8-f-vs2-106135/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/98530/images/101783/221098-125__57032.1675334819.220.290.jpg?c=1",2154
"sku_136484 ","Oval",0.8,"VS2","L","Excellent","Excellent","Strong","7.01x5.22x3.30","GIA",NA,7.01,5.22,3.3,"$1,300.00","https://diamondsdirect.com/oval-0-8-l-vs2-136484/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/121517/images/130350/2183700__97288.1675330928.220.290.jpg?c=1",1300
"sku_106195 ","Cushion",0.8,"VVS1","H","Very Good","Excellent","Faint","5.60x4.77x3.27","GIA",NA,5.6,4.77,3.27,"$1,922.00","https://diamondsdirect.com/cushion-0-8-h-vvs1-106195/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/80877/images/84211/220471-818__68300.1675331205.220.290.jpg?c=1",1922
"sku_106159 ","Cushion",0.8,"VVS2","G","Excellent","Very Good","None","5.59x4.97x3.34","GIA",NA,5.59,4.97,3.34,"$2,175.00","https://diamondsdirect.com/cushion-0-8-g-vvs2-106159/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/97758/images/101018/221130-94__72536.1675334956.220.290.jpg?c=1",2175
"sku_136488 ","Oval",0.8,"VS2","E","Excellent","Very Good","Faint","6.99x5.21x3.25","GIA",NA,6.99,5.21,3.25,"$3,394.00","https://diamondsdirect.com/oval-0-8-e-vs2-136488/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/121537/images/130370/223596-41__65939.1675333063.220.290.jpg?c=1",3394
"sku_106185 ","Cushion",0.8,"VS2","G","Excellent","Very Good","None","5.86x4.79x3.32","GIA",NA,5.86,4.79,3.32,"$2,032.00","https://diamondsdirect.com/cushion-0-8-g-vs2-106185/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/98026/images/101283/220443-660__05144.1675334057.220.290.jpg?c=1",2032
"sku_70685 ","Round",0.5,"VVS2","J","Excellent","Excellent","None","5.04-5.08x3.17","GIA","Excellent",5.04,5.08,3.17,"$1,402.00","https://diamondsdirect.com/round-0-5-j-vvs2-70685/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/61893/images/65315/220785-306__50214.1675335407.220.290.jpg?c=1",1402
"sku_106296 ","Cushion",0.8,"VS1","D","Excellent","Very Good","Faint","5.34x4.97x3.45","GIA",NA,5.34,4.97,3.45,"$2,232.00","https://diamondsdirect.com/cushion-0-8-d-vs1-106296/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/98650/images/101899/220314-283__38904.1675334005.220.290.jpg?c=1",2232
"sku_106214 ","Cushion",0.8,"VS1","H","Excellent","Very Good","None","5.53x4.96x3.45","GIA",NA,5.53,4.96,3.45,"$1,979.00","https://diamondsdirect.com/cushion-0-8-h-vs1-106214/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/99459/images/102705/223468-278__52168.1675333185.220.290.jpg?c=1",1979
"sku_94062 ","Oval",0.8,"SI1","E","Excellent","Very Good","None","6.89x5.17x3.30","GIA",NA,6.89,5.17,3.3,"$2,504.00","https://diamondsdirect.com/oval-0-8-e-si1-94062/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/90493/images/93789/223549-822__95088.1675334614.220.290.jpg?c=1",2504
"sku_134593 ","Pear",0.8,"VVS1","G","Excellent","Excellent","None","8.29x5.17x3.10","GIA",NA,8.29,5.17,3.1,"$4,460.00","https://diamondsdirect.com/pear-0-8-g-vvs1-134593/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/120160/images/128581/222267-226__10792.1675331048.220.290.jpg?c=1",4460
"sku_106123 ","Cushion",0.8,"VS1","FALSE","Excellent","Excellent","None","5.37x5.03x3.49","GIA",NA,5.37,5.03,3.49,"$2,510.00","https://diamondsdirect.com/cushion-0-8-f-vs1-106123/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/98180/images/101437/220471-172__30616.1675323518.220.290.jpg?c=1",2510
"sku_135476 ","Round",0.8,"SI1","E","Excellent","Very Good","Faint","5.89-5.92x3.64","GIA","Very Good",5.89,5.92,3.64,"$3,180.00","https://diamondsdirect.com/round-0-8-e-si1-135476/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/122037/images/130870/222780-56__48168.1675329670.220.290.jpg?c=1",3180
"sku_106143 ","Cushion",0.8,"VS2","FALSE","Excellent","Excellent","None","5.23x5.11x3.56","GIA",NA,5.23,5.11,3.56,"$2,108.00","https://diamondsdirect.com/cushion-0-8-f-vs2-106143/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/98501/images/101755/223468-426__89489.1675334537.220.290.jpg?c=1",2108
"sku_106307 ","Cushion",0.8,"SI1","D","Excellent","Very Good","Strong","5.15x5.15x3.55","GIA",NA,5.15,5.15,3.55,"$1,674.00","https://diamondsdirect.com/cushion-0-8-d-si1-106307/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/99605/images/102851/220376-62__54151.1675331201.220.290.jpg?c=1",1674
"sku_131904 ","Princess",0.8,"FL/IF","FALSE","Excellent","Very Good","None","4.98x4.94x3.63","GIA",NA,4.98,4.94,3.63,"$3,163.00","https://diamondsdirect.com/princess-0-8-f-if-131904/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/117550/images/125724/221337-18__33684.1675334310.220.290.jpg?c=1",3163
"sku_135584 ","Round",0.8,"VVS1","E","Excellent","Very Good","None","5.72-5.80x3.72","GIA","Very Good",5.72,5.8,3.72,"$6,751.00","https://diamondsdirect.com/round-0-8-e-vvs1-135584/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/120960/images/129793/221344-340__23281.1675334141.220.290.jpg?c=1",6751
"sku_70711 ","Round",0.5,"VVS2","J","Excellent","Excellent","None","5.06-5.09x3.17","GIA","Excellent",5.06,5.09,3.17,"$1,462.00","https://diamondsdirect.com/round-0-5-j-vvs2-70711/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/62197/images/65617/220785-122__75185.1675333517.220.290.jpg?c=1",1462
"sku_94250 ","Oval",0.8,"VS2","D","Excellent","Very Good","Faint","6.96x5.20x3.31","GIA",NA,6.96,5.2,3.31,"$3,087.00","https://diamondsdirect.com/oval-0-8-d-vs2-94250/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/92026/images/95314/223513-950__16906.1675334559.220.290.jpg?c=1",3087
"sku_137698 ","Pear",0.8,"SI1","I","Very Good","Very Good","None","7.93x5.18x3.11","GIA",NA,7.93,5.18,3.11,"$2,301.00","https://diamondsdirect.com/pear-0-8-i-si1-137698/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/123313/images/132146/221347-426__04697.1675334253.220.290.jpg?c=1",2301
"sku_106198 ","Cushion",0.8,"VVS1","H","Excellent","Excellent","None","5.48x4.96x3.45","GIA",NA,5.48,4.96,3.45,"$2,098.00","https://diamondsdirect.com/cushion-0-8-h-vvs1-106198/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/79452/images/82788/222229-489__52599.1675333513.220.290.jpg?c=1",2098
"sku_138360 ","Oval",0.8,"SI2","FALSE","Excellent","Excellent","Faint","7.05x5.26x3.28","GIA",NA,7.05,5.26,3.28,"$2,317.00","https://diamondsdirect.com/oval-0-8-f-si2-138360/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/123708/images/132541/225111-453__00479.1675332886.220.290.jpg?c=1",2317
"sku_123615 ","Round",0.8,"VS1","I","Excellent","Excellent","Faint","5.83-5.86x3.72","GIA","Very Good",5.83,5.86,3.72,"$2,985.00","https://diamondsdirect.com/round-0-8-i-vs1-123615/?c_id=149","https://cdn11.bigcommerce.com/s-2ugu70me6s/products/109380/images/116862/220746-459__34816.1675330853.220.290.jpg?c=1",2985
